customer_id,Crisis,Pre-Crisis,Recovery,city,acquisition_channel,segment
CUST000007,0,1,0,Pune,Organic,Lost
CUST000008,0,1,0,Kolkata,Referral,Lost
CUST000009,1,2,1,Delhi,Paid,Recovered
CUST000010,0,3,0,Hyderabad,Paid,Lost
CUST000011,0,1,0,Kolkata,Organic,Lost
CUST000012,0,1,0,,,Lost
CUST000014,0,0,1,Bengaluru,Paid,New
CUST000015,0,1,0,Ahmedabad,Organic,Lost
CUST000017,0,1,0,Mumbai,Organic,Lost
CUST000019,0,1,0,Bengaluru,Organic,Lost
CUST000020,0,3,0,Pune,Paid,Lost
CUST000021,1,0,0,Kolkata,Organic,Other
CUST000025,0,1,0,Bengaluru,Paid,Lost
CUST000026,0,1,0,,,Lost
CUST000027,0,2,0,Pune,Social,Lost
CUST000028,0,0,1,Pune,Paid,New
CUST000030,0,0,1,Delhi,Referral,New
CUST000037,1,0,0,Mumbai,Referral,Other
CUST000039,0,1,0,Pune,Organic,Lost
CUST000042,1,0,0,Bengaluru,Organic,Other
CUST000043,0,1,0,Kolkata,Organic,Lost
CUST000044,0,1,1,Bengaluru,Organic,Recovered
CUST000049,0,1,0,Hyderabad,Organic,Lost
CUST000056,0,1,0,Mumbai,Paid,Lost
CUST000057,0,2,0,Hyderabad,Organic,Lost
CUST000059,0,1,0,Mumbai,Organic,Lost
CUST000060,0,1,1,Kolkata,Organic,Recovered
CUST000065,0,1,0,Bengaluru,Organic,Lost
CUST000066,0,1,0,Pune,Organic,Lost
CUST000072,0,1,0,Bengaluru,Organic,Lost
CUST000073,0,2,1,Hyderabad,Paid,Recovered
CUST000075,0,2,1,Hyderabad,Organic,Recovered
CUST000077,1,0,0,Mumbai,Social,Other
CUST000079,0,1,0,,,Lost
CUST000083,0,3,0,Pune,Referral,Lost
CUST000084,0,1,0,Pune,Organic,Lost
CUST000087,0,1,0,Hyderabad,Social,Lost
CUST000088,0,3,0,Pune,Paid,Lost
CUST000090,0,1,0,Pune,Organic,Lost
CUST000094,0,0,1,Delhi,Social,New
CUST000097,0,1,0,Mumbai,Referral,Lost
CUST000098,0,2,0,Chennai,Social,Lost
CUST000100,0,1,0,Hyderabad,Social,Lost
CUST000102,0,1,1,Delhi,Organic,Recovered
CUST000103,0,1,0,Ahmedabad,Organic,Lost
CUST000105,0,1,0,Pune,Organic,Lost
CUST000107,0,1,0,Pune,Organic,Lost
CUST000108,0,1,0,Bengaluru,Organic,Lost
CUST000109,0,1,0,Bengaluru,Social,Lost
CUST000111,0,0,2,Mumbai,Organic,New
CUST000113,0,2,0,Mumbai,Referral,Lost
CUST000115,0,2,0,Mumbai,Referral,Lost
CUST000117,0,1,0,Delhi,Referral,Lost
CUST000120,0,2,0,Ahmedabad,Referral,Lost
CUST000121,0,1,0,Pune,Organic,Lost
CUST000123,0,1,0,Bengaluru,Social,Lost
CUST000124,0,1,0,Delhi,Paid,Lost
CUST000127,0,3,0,Ahmedabad,Organic,Lost
CUST000128,0,1,0,Mumbai,Referral,Lost
CUST000129,0,1,0,Bengaluru,Paid,Lost
CUST000134,0,1,0,Pune,Paid,Lost
CUST000135,0,1,0,Bengaluru,Paid,Lost
CUST000137,1,0,0,,,Other
CUST000139,0,2,0,Delhi,Referral,Lost
CUST000140,0,1,0,Bengaluru,Paid,Lost
CUST000142,0,1,0,Delhi,Organic,Lost
CUST000143,0,1,0,Mumbai,Organic,Lost
CUST000144,0,1,0,Kolkata,Social,Lost
CUST000146,0,2,0,Delhi,Referral,Lost
CUST000147,0,2,0,Bengaluru,Referral,Lost
CUST000148,0,0,1,Ahmedabad,Social,New
CUST000149,0,1,0,Bengaluru,Referral,Lost
CUST000150,0,1,0,Ahmedabad,Organic,Lost
CUST000151,0,1,1,Hyderabad,Organic,Recovered
CUST000153,0,1,0,Hyderabad,Organic,Lost
CUST000154,0,1,0,Delhi,Paid,Lost
CUST000155,0,1,0,Delhi,Organic,Lost
CUST000158,0,1,0,Hyderabad,Referral,Lost
CUST000159,0,2,0,Pune,Organic,Lost
CUST000161,0,1,0,Bengaluru,Organic,Lost
CUST000162,0,1,0,,,Lost
CUST000163,0,2,0,Mumbai,Organic,Lost
CUST000165,0,2,0,Bengaluru,Paid,Lost
CUST000166,0,1,0,Mumbai,Organic,Lost
CUST000168,0,1,1,Delhi,Organic,Recovered
CUST000169,0,0,1,Bengaluru,Paid,New
CUST000170,0,1,0,Bengaluru,Referral,Lost
CUST000172,0,0,1,Pune,Referral,New
CUST000174,0,1,0,Bengaluru,Referral,Lost
CUST000175,0,2,0,Pune,Organic,Lost
CUST000178,0,1,0,Ahmedabad,Paid,Lost
CUST000179,0,1,0,,,Lost
CUST000180,0,1,0,Mumbai,Social,Lost
CUST000188,0,1,0,Ahmedabad,Social,Lost
CUST000190,0,2,0,Pune,Paid,Lost
CUST000193,0,2,0,Mumbai,Paid,Lost
CUST000194,0,1,0,Bengaluru,Paid,Lost
CUST000197,1,0,0,Chennai,Organic,Other
CUST000198,0,1,0,Hyderabad,Organic,Lost
CUST000200,0,2,0,Chennai,Organic,Lost
CUST000201,0,2,0,Bengaluru,Organic,Lost
CUST000203,0,1,1,Kolkata,Referral,Recovered
CUST000211,0,2,1,Mumbai,Paid,Recovered
CUST000214,0,2,0,Ahmedabad,Organic,Lost
CUST000215,0,2,0,Mumbai,Paid,Lost
CUST000217,1,1,0,Bengaluru,Paid,Lost
CUST000219,0,1,0,Hyderabad,Paid,Lost
CUST000220,0,1,0,Chennai,Social,Lost
CUST000221,0,1,0,Bengaluru,Organic,Lost
CUST000222,0,1,0,Mumbai,Organic,Lost
CUST000229,0,0,1,Ahmedabad,Paid,New
CUST000231,0,1,0,Ahmedabad,Organic,Lost
CUST000233,0,0,1,Chennai,Social,New
CUST000235,0,1,0,,,Lost
CUST000239,1,0,0,Delhi,Social,Other
CUST000242,0,1,0,Mumbai,Social,Lost
CUST000243,0,2,0,Chennai,Social,Lost
CUST000245,0,1,0,Hyderabad,Organic,Lost
CUST000246,0,1,0,,,Lost
CUST000247,0,0,1,Bengaluru,Paid,New
CUST000252,0,2,0,Delhi,Organic,Lost
CUST000256,0,0,1,Delhi,Organic,New
CUST000257,0,1,1,Bengaluru,Organic,Recovered
CUST000258,1,0,0,Bengaluru,Organic,Other
CUST000265,0,1,0,Chennai,Organic,Lost
CUST000266,0,1,0,Mumbai,Paid,Lost
CUST000268,0,1,0,Delhi,Referral,Lost
CUST000269,0,3,1,Delhi,Organic,Recovered
CUST000270,0,1,0,Kolkata,Organic,Lost
CUST000273,0,2,0,,,Lost
CUST000276,0,0,1,Mumbai,Paid,New
CUST000278,0,1,0,Chennai,Paid,Lost
CUST000280,0,1,0,Hyderabad,Referral,Lost
CUST000281,0,1,0,Delhi,Paid,Lost
